id,title,pin,about,description,category,link,x,y,image
M94_L9,LOTE: MZ 94 LT 9 |  SUPERFICIE: 506m2,hidden,LOTE: MZ 94 LT 9 |  SUPERFICIE: 506m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>506 m2</b><br>Precio: $  <b>500940 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.5253,0.4762,https://lagunaskuche.com/assets/images/lagunas.jpg
M94_L10,LOTE: MZ 94 LT 10 |  SUPERFICIE: 506m2,hidden,LOTE: MZ 94 LT 10 |  SUPERFICIE: 506m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>506 m2</b><br>Precio: $  <b>500940 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.5283,0.4583,https://lagunaskuche.com/assets/images/lagunas.jpg
M95_L1,LOTE: MZ 95 LT 1 |  SUPERFICIE: 400m2,hidden,LOTE: MZ 95 LT 1 |  SUPERFICIE: 400m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>400 m2</b><br>Precio: $  <b>396000 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.4756,0.4392,https://lagunaskuche.com/assets/images/lagunas.jpg
M95_L2,LOTE: MZ 95 LT 2 |  SUPERFICIE: 400m2,hidden,LOTE: MZ 95 LT 2 |  SUPERFICIE: 400m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>400 m2</b><br>Precio: $  <b>396000 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.4962,0.4398,https://lagunaskuche.com/assets/images/lagunas.jpg
M95_L3,LOTE: MZ 95 LT 3 |  SUPERFICIE: 400m2,hidden,LOTE: MZ 95 LT 3 |  SUPERFICIE: 400m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>400 m2</b><br>Precio: $  <b>396000 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.4932,0.4574,https://lagunaskuche.com/assets/images/lagunas.jpg
M95_L4,LOTE: MZ 95 LT 4 |  SUPERFICIE: 400m2,hidden,LOTE: MZ 95 LT 4 |  SUPERFICIE: 400m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>400 m2</b><br>Precio: $  <b>396000 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.4915,0.4753,https://lagunaskuche.com/assets/images/lagunas.jpg
M95_L5,LOTE: MZ 95 LT 5 |  SUPERFICIE: 400m2,hidden,LOTE: MZ 95 LT 5 |  SUPERFICIE: 400m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>400 m2</b><br>Precio: $  <b>396000 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.4898,0.4937,https://lagunaskuche.com/assets/images/lagunas.jpg
M95_L6,LOTE: MZ 95 LT 6 |  SUPERFICIE: 400m2,hidden,LOTE: MZ 95 LT 6 |  SUPERFICIE: 400m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>400 m2</b><br>Precio: $  <b>396000 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.4875,0.511,https://lagunaskuche.com/assets/images/lagunas.jpg
M95_L7,LOTE: MZ 95 LT 7 |  SUPERFICIE: 400m2,hidden,LOTE: MZ 95 LT 7 |  SUPERFICIE: 400m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>400 m2</b><br>Precio: $  <b>396000 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.4685,0.511,https://lagunaskuche.com/assets/images/lagunas.jpg
M95_L8,LOTE: MZ 95 LT 8 |  SUPERFICIE: 400m2,hidden,LOTE: MZ 95 LT 8 |  SUPERFICIE: 400m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>400 m2</b><br>Precio: $  <b>396000 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.4699,0.4931,https://lagunaskuche.com/assets/images/lagunas.jpg
M95_L9,LOTE: MZ 95 LT 9 |  SUPERFICIE: 400m2,hidden,LOTE: MZ 95 LT 9 |  SUPERFICIE: 400m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>400 m2</b><br>Precio: $  <b>396000 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.4719,0.475,https://lagunaskuche.com/assets/images/lagunas.jpg
M95_L10,LOTE: MZ 95 LT 10 |  SUPERFICIE: 400m2,hidden,LOTE: MZ 95 LT 10 |  SUPERFICIE: 400m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>400 m2</b><br>Precio: $  <b>396000 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.4743,0.4571,https://lagunaskuche.com/assets/images/lagunas.jpg
M96_LAVERDE,LOTE: MZ 96 LT AVERDE |  SUPERFICIE: m2,hidden,LOTE: MZ 96 LT AVERDE |  SUPERFICIE: m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'>   </b><br>Superficie: <b> m2</b><br>Precio: $  <b>0 MXN</b></p>",,https://landrada.mx/cotizador,0.3833,0.4129,https://lagunaskuche.com/assets/images/lagunas.jpg
M97_L1,LOTE: MZ 97 LT 1 |  SUPERFICIE: 801m2,hidden,LOTE: MZ 97 LT 1 |  SUPERFICIE: 801m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> comercial  </b><br>Superficie: <b>801 m2</b><br>Precio: $  <b>792990 MXN</b></p>",comercial,https://landrada.mx/cotizador,0.377,0.4374,https://lagunaskuche.com/assets/images/lagunas.jpg
M97_L2,LOTE: MZ 97 LT 2 |  SUPERFICIE: 801m2,hidden,LOTE: MZ 97 LT 2 |  SUPERFICIE: 801m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> comercial  </b><br>Superficie: <b>801 m2</b><br>Precio: $  <b>792990 MXN</b></p>",comercial,https://landrada.mx/cotizador,0.3757,0.4556,https://lagunaskuche.com/assets/images/lagunas.jpg
M97_L3,LOTE: MZ 97 LT 3 |  SUPERFICIE: 801m2,hidden,LOTE: MZ 97 LT 3 |  SUPERFICIE: 801m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> comercial  </b><br>Superficie: <b>801 m2</b><br>Precio: $  <b>792990 MXN</b></p>",comercial,https://landrada.mx/cotizador,0.374,0.4728,https://lagunaskuche.com/assets/images/lagunas.jpg
M97_L4,LOTE: MZ 97 LT 4 |  SUPERFICIE: 801m2,hidden,LOTE: MZ 97 LT 4 |  SUPERFICIE: 801m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> comercial  </b><br>Superficie: <b>801 m2</b><br>Precio: $  <b>792990 MXN</b></p>",comercial,https://landrada.mx/cotizador,0.3713,0.4907,https://lagunaskuche.com/assets/images/lagunas.jpg
M97_L5,LOTE: MZ 97 LT 5 |  SUPERFICIE: 801m2,hidden,LOTE: MZ 97 LT 5 |  SUPERFICIE: 801m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> comercial  </b><br>Superficie: <b>801 m2</b><br>Precio: $  <b>792990 MXN</b></p>",comercial,https://landrada.mx/cotizador,0.3696,0.5089,https://lagunaskuche.com/assets/images/lagunas.jpg
M98_L1,LOTE: MZ 98 LT 1 |  SUPERFICIE: 801m2,hidden,LOTE: MZ 98 LT 1 |  SUPERFICIE: 801m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> comercial  </b><br>Superficie: <b>801 m2</b><br>Precio: $  <b>792990 MXN</b></p>",comercial,https://landrada.mx/cotizador,0.3162,0.434,https://lagunaskuche.com/assets/images/lagunas.jpg
M98_L2,LOTE: MZ 98 LT 2 |  SUPERFICIE: 801m2,hidden,LOTE: MZ 98 LT 2 |  SUPERFICIE: 801m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> comercial  </b><br>Superficie: <b>801 m2</b><br>Precio: $  <b>792990 MXN</b></p>",comercial,https://landrada.mx/cotizador,0.3139,0.4513,https://lagunaskuche.com/assets/images/lagunas.jpg
